CodDistritoConcelho,P_IP_Total,P_IP_Inef,Cap_PTD,Util_Media,N_PTDs,Delta_PLED,PFolga,PVE,D,Rate_Ineficiencia
607,283.9684000854492,55.24,27496,0.588962962962963,138,35.906000000000006,10397.724420740738,1821.6,8612.030420740739,0.1945286869362143
608,276.6750002708435,15.834999999999999,21780,0.6373333333333333,95,10.29275,7266.969600000001,1254.0,6023.262350000001,0.05723321581096505
609,234.6795000038147,30.21,19350,0.5621,104,19.6365,7795.495799999999,1372.8,6442.332299999998,0.12872875559863106
610,540.1645001907349,160.78,38270,0.5795161290322581,186,104.507,14804.564322580643,2455.2,12453.871322580642,0.29765006760575297
611,543.2440000190735,232.22,33771,0.5710824742268041,198,150.943,13326.175861855669,2613.6,10863.518861855668,0.4274690562470026
612,222.9445001411438,16.39,11101,0.49210526315789477,115,10.653500000000001,5187.088315789473,1518.0,3679.7418157894735,0.07351605439750102
613,288.2767000389099,7.89,20890,0.5360135135135135,149,5.1285,8917.263486486487,1966.8,6955.591986486487,0.027369537666190345
614,176.2405001296997,57.2,12960,0.5125882352941177,89,37.18,5811.507952941177,1174.8,4673.887952941177,0.3245565006789309
615,455.2229000358582,159.495,28376,0.5729479768786128,178,103.67175,11148.585951445086,2349.6,8902.657701445085,0.35036682027076516
616,453.8722000083923,294.83000000000004,19301,0.5888652482269504,145,191.63950000000003,7300.4868964539,1914.0,5578.1263964539,0.6495881439633194
617,115.02340001678468,0.0,14200,0.5631343283582089,69,0.0,5707.213134328359,910.8,4796.413134328359,0.0
701,74.77889943313599,0.07,18035,0.42492753623188406,158,0.045500000000000006,9541.717333333334,2085.6,7456.162833333334,0.0009360929424027019
702,110.12059915351868,18.509999999999998,22900,0.42470238095238094,179,12.0315,12120.37023809524,2362.7999999999997,9769.60173809524,0.16808844251015453
703,95.68729917907714,11.05,14575,0.5217105263157894,77,7.182500000000001,6413.38355263158,1016.4,5404.16605263158,0.1154803207405835
704,201.46799878311157,25.439999999999998,36975,0.48649214659685863,201,16.535999999999998,17467.996649214663,2653.2,14831.332649214663,0.12627315580469523
705,659.1735983715057,80.64,156275,0.4546280991735537,546,52.416000000000004,78409.75429752067,7207.2,71254.97029752067,0.12233499672805744
706,181.74279856491088,6.36,47619,0.4901694915254238,368,4.134,22335.40946440678,4857.599999999999,17481.94346440678,0.03499450899964257
707,79.1870990486145,12.425,13115,0.45078651685393256,97,8.07625,6626.700044943821,1280.3999999999999,5354.376294943821,0.15690687181723947
708,54.24979959487915,1.4,7830,0.42636363636363633,58,0.9099999999999999,4132.24690909091,765.6,3367.55690909091,0.02580654694496146
709,99.73569910621643,9.32,13465,0.4483870967741936,99,6.058000000000001,6833.2703225806445,1306.8,5532.528322580644,0.09344698120654266
710,81.67969941329956,3.65,15565,0.49314285714285716,108,2.3725,7258.092914285716,1425.6,5834.865414285716,0.044686746232145
711,147.0984991645813,11.218,24995,0.5132857142857142,145,7.2917000000000005,11192.189685714287,1914.0,9285.481385714287,0.0762618249928487
712,145.99989824295042,0.71,25003,0.5034444444444445,96,0.46149999999999997,11422.148271111111,1267.2,10155.40977111111,0.0048630170879881566
713,93.74219902801514,2.0999999999999996,14685,0.4371764705882353,87,1.3649999999999998,7603.858447058824,1148.3999999999999,6456.823447058824,0.02240186406734931
714,102.77079888916015,1.4,18101,0.44263157894736843,80,0.9099999999999999,9281.81172631579,1056.0,8226.721726315789,0.013622546629319492
801,1371.05340193367,646.1199999999999,211520,0.5323232323232323,501,419.97799999999995,91009.1507070707,6613.2,84815.9287070707,0.4712580845419604
802,133.27110020065308,16.330000000000002,8258,0.3900952380952381,108,10.614500000000001,4633.666041904763,1425.6,3218.680541904763,0.12253219171608504
803,177.2545008430481,38.84,21655,0.46,148,25.246000000000002,10758.204000000002,1953.6,8829.85,0.21911996488253518
